NAME,STATEFP,STATE_ABBR,SCOPE,CATEGORY,OWNER_CLASS,ITEM_TYPE,DATASET_NAME,SOURCE_ACCREDITATION,URL,DATA_AGE,DESCRIPTION,APPLICABLE_SYSTEM_TYPES,MIN_SYSTEM_SIZE_MW,MAX_SYSTEM_SIZE_MW,COST,STATUS,EFFECTIVE_DATE,EXPIRY_DATE,TIMEFRAME_DAYS
,,,federal,permit,,,SolarAPP+ permitting tool,,https://solarapp.nrel.gov/,,"Official permitting or permitting-adjacent source for United States. Typically includes permit pathways, agency jurisdiction, application guidance, compliance requirements, and supporting permitting references relevant to solar or water-adjacent infrastructure.",,,,,active,,,
,,,federal,permit,,,USACE regulatory program and permits,,https://www.usace.army.mil/Missions/Civil-Works/Regulatory-Program-and-Permits/,,"Official permitting or permitting-adjacent source for United States. Typically includes permit pathways, agency jurisdiction, application guidance, compliance requirements, and supporting permitting references relevant to solar or water-adjacent infrastructure.",,,,,error,,,
,,,federal,permit,,,EPA ATTAINS,,https://www.epa.gov/waterdata/attains,,"National environmental or siting-screening dataset relevant to water, habitat, hazards, or adjacent infrastructure constraints.",,,,,amended,,,
,,,federal,permit,,,EPA ECHO Web Services,,https://echo.epa.gov/tools/web-services,,"National environmental or siting-screening dataset relevant to water, habitat, hazards, or adjacent infrastructure constraints.",,,,,amended,,,
,,,federal,permit,,,NOAA Coastal Zone Management Act Boundary,,https://coast.noaa.gov/arcgis/rest/services/Hosted/CoastalZoneManagementAct/FeatureServer/0,,"National environmental or siting-screening dataset relevant to water, habitat, hazards, or adjacent infrastructure constraints.",,,,,active,,,
,,,federal,permit,,,FEMA National Flood Hazard Layer (NFHL),,https://www.fema.gov/national-flood-hazard-layer-nfhl,,"National environmental or siting-screening dataset relevant to water, habitat, hazards, or adjacent infrastructure constraints.",,,,,pending,,,
,,,federal,permit,,,USFWS Critical Habitat Feature Service,,https://services.arcgis.com/QVENGdaPbd4LUkLV/ArcGIS/rest/services/USFWS_Critical_Habitat/FeatureServer,,"National environmental or siting-screening dataset relevant to water, habitat, hazards, or adjacent infrastructure constraints.",,,,,pending,,,
,,,federal,permit,,,USFWS IPaC,,https://ipac.ecosphere.fws.gov/,,"National environmental or siting-screening dataset relevant to water, habitat, hazards, or adjacent infrastructure constraints.",,,,,expired,,,90
,,,federal,permit,,,USFWS National Wetlands Inventory (NWI),,https://www.fws.gov/program/national-wetlands-inventory,,"National environmental or siting-screening dataset relevant to water, habitat, hazards, or adjacent infrastructure constraints.",,,,,error,,,
,,,federal,permit,,,USGS NHDPlus High Resolution,,https://www.usgs.gov/national-hydrography/nhdplus-high-resolution,,"National environmental or siting-screening dataset relevant to water, habitat, hazards, or adjacent infrastructure constraints.",,,,,pending,,,
,,,federal,permit,,,USGS 3D Elevation Program (3DEP),,https://www.usgs.gov/3d-elevation-program,,"National environmental or siting-screening dataset relevant to water, habitat, hazards, or adjacent infrastructure constraints.",,,,13.0,active,,,
,,,federal,permit,,,NOAA / NCEI Bathymetric Data Viewer,,https://www.ncei.noaa.gov/products/seafloor-mapping,,"National environmental or siting-screening dataset relevant to water, habitat, hazards, or adjacent infrastructure constraints.",,,,,expired,,,
,,,federal,permit,,,NOAA Electronic Navigational Charts Shoreline,,https://coast.noaa.gov/digitalcoast/data/enc-shoreline.html,,"National environmental or siting-screening dataset relevant to water, habitat, hazards, or adjacent infrastructure constraints.",,,,,active,,,
,,,federal,permit,,,USACE National Levee Database,,https://nld.sec.usace.army.mil/,,"National environmental or siting-screening dataset relevant to water, habitat, hazards, or adjacent infrastructure constraints.",,,,2.0,expired,,,
,,,federal,permit,,,USACE RIBITS,,https://www.arcgis.com/home/item.html?id=77c648d946ab4f9cb731524e705272d2,,"National environmental or siting-screening dataset relevant to water, habitat, hazards, or adjacent infrastructure constraints.",,,,,active,,,
,,,federal,permit,,,National Inventory of Dams,,https://nid.sec.usace.army.mil/,,"National environmental or siting-screening dataset relevant to water, habitat, hazards, or adjacent infrastructure constraints.",,,,,active,,,
,,,federal,regulation,,,Interconnection Standards for Small Generators,,https://www.ferc.gov/electric-transmission/generator-interconnection/standard-interconnection-agreements-and-procedures,,"Jurisdiction-level solar policy or regulatory requirement in United States, categorized as Interconnection. Summarizes applicability, key requirements (for example, interconnection, net metering, or permitting standards), and links to supporting documentation.",,,,,error,,,
,,,federal,regulation,,,DSIRE API,,https://www.dsireusa.org/dsire-api/,,"National policy or tariff data source relevant to distributed generation, compensation, or state-level renewable policy monitoring.",,,,,active,,,
,,,federal,regulation,,,OpenEI Utility Rate Database (URDB) API,,https://apps.openei.org/services/,,National utility-rate and tariff API that can be joined to utility territories for economic and compensation analysis.,,,,,active,,,
Butte,,,unknown,permit,,,Butte County — Building permits portal,,https://www.buttecounty.net/263/Building-Division,,"Official county building department website or permitting portal that provides the authoritative entry point for building and electrical permits. Typically includes application steps, required documents, plan review, inspections, fee information, and links to online permitting systems.",,,,,error,,,
Humboldt,,,unknown,permit,,,Humboldt County — Building permits portal,,https://humboldtgov.org/156/Planning-Building,,"Official county building department website or permitting portal that provides the authoritative entry point for building and electrical permits. Typically includes application steps, required documents, plan review, inspections, fee information, and links to online permitting systems.",,,,,pending,"July 1, 2024",,
Kings,,,unknown,permit,,,Kings County — Building permits portal,,https://www.countyofkings.com/departments/community-development-agency/building-division,,"Official county building department website or permitting portal that provides the authoritative entry point for building and electrical permits. Typically includes application steps, required documents, plan review, inspections, fee information, and links to online permitting systems.",,,,,error,,,
Lake,,,unknown,permit,,,Lake County — Building permits portal,,https://www.lakecountyca.gov/367/Building,,"Official county building department website or permitting portal that provides the authoritative entry point for building and electrical permits. Typically includes application steps, required documents, plan review, inspections, fee information, and links to online permitting systems.",,,,,active,,,
Orange,,,unknown,permit,,,Orange County — Solar permitting page,,https://ocpublicworks.com/building-safety/permits/online,,"County-maintained solar PV permitting guidance page. Often includes solar checklists, standard plan requirements, expedited processing guidance, common corrections, and links to submit permits online.",,,,,error,,,
Orange,,,unknown,permit,,,Orange County Public Works source,,https://www.ocpublicworks.com/,,"Official permitting or permitting-adjacent source for Local jurisdiction. Typically includes permit pathways, agency jurisdiction, application guidance, compliance requirements, and supporting permitting references relevant to solar or water-adjacent infrastructure.",,,,1.82,expired,,,
Santa Cruz,,,unknown,permit,,,Santa Cruz County — Building permits portal,,https://www.sccoplanning.com/PlanningHome/BuildingSafety.aspx,,"Official county building department website or permitting portal that provides the authoritative entry point for building and electrical permits. Typically includes application steps, required documents, plan review, inspections, fee information, and links to online permitting systems.",,,,,pending,,,
Sierra,,,unknown,permit,,,Sierra County — Building permits portal,,https://www.sierracounty.ca.gov/181/Building-Department,,"Official county building department website or permitting portal that provides the authoritative entry point for building and electrical permits. Typically includes application steps, required documents, plan review, inspections, fee information, and links to online permitting systems.",,,,,pending,,,
Trinity,,,unknown,permit,,,Trinity County — Building permits portal,,https://www.trinitycounty.org/Building,,"Official county building department website or permitting portal that provides the authoritative entry point for building and electrical permits. Typically includes application steps, required documents, plan review, inspections, fee information, and links to online permitting systems.",,,,,error,,,
,00,US,federal,regulation,,,Federal Appliance Standards,,https://www.energy.gov/eere/buildings/appliance-and-equipment-standards-program,,"Jurisdiction-level solar policy or regulatory requirement in United States, categorized as Appliance/Equipment Efficiency Standards. Summarizes applicability, key requirements (for example, interconnection, net metering, or permitting standards), and links to supporting documentation.",,,,105.0,active,,,
,00,US,federal,regulation,,,Energy and Emissions Goals and Standards for Federal Government,,https://www.energy.gov/femp/federal-building-energy-efficiency-rules-and-requirements,,"Jurisdiction-level solar policy or regulatory requirement in United States, categorized as Energy Standards for Public Buildings. Summarizes applicability, key requirements (for example, interconnection, net metering, or permitting standards), and links to supporting documentation.",,,,3.0,expired,,,
,01,AL,state,incentive,,,State incentives overview - AL,,https://programs.dsireusa.org/system/program/AL,,"Program-level record for a solar incentive available in Alabama. Typically includes the program name, administrator, eligibility rules, incentive structure or value, application steps, and deadlines.",,,,,active,,,
,01,AL,state,incentive,,,Local Option - Property Tax Exemption for Renewable Energy Facilities,,https://www.energybot.com/incentives/alabama/local-option-property-tax-exemption-for-renewable-energy-facilities-5943.html,,"Program-level record for a solar incentive available in Alabama, categorized as Property Tax Incentive. Typically includes the program name, administrator, eligibility rules, incentive structure or value, application steps, and deadlines.",,,,,expired,,,
,01,AL,state,incentive,,,Energy-Efficient Retrofits Program,,https://adeca.alabama.gov/sep/,,"Program-level record for a solar incentive available in Alabama, categorized as Grant Program. Typically includes the program name, administrator, eligibility rules, incentive structure or value, application steps, and deadlines.",,,,50000.0,active,,,
,01,AL,state,regulation,,,Interconnection Standards,,https://www.alabamapower.com/clean-energy/solar-energy.html,,"Jurisdiction-level solar policy or regulatory requirement in Alabama, categorized as Interconnection. Summarizes applicability, key requirements (for example, interconnection, net metering, or permitting standards), and links to supporting documentation.",,,,,pending,,,
,02,AK,state,regulation,,,Regulatory Commission of Alaska — solar / distributed generation regulatory portal,,https://rca.alaska.gov/,,"Official state Public Service Commission or Public Utility Commission portal providing regulatory decisions, distributed generation policy, interconnection standards, and related solar market oversight. This grouped source class supports scalable state-by-state tracking without creating a different source architecture for every regulator. This row covers Alaska.",,,,,active,,,
,05,AR,state,incentive,,,State incentives overview - AR,,https://programs.dsireusa.org/system/program/AR,,"Program-level record for a solar incentive available in Arkansas. Typically includes the program name, administrator, eligibility rules, incentive structure or value, application steps, and deadlines.",,,,,active,,,
,05,AR,state,regulation,,,Green Building Standards for State Facilities,,https://www.adeq.state.ar.us/energy/resources/government.aspx,,"Jurisdiction-level solar policy or regulatory requirement in Arkansas, categorized as Energy Standards for Public Buildings. Summarizes applicability, key requirements (for example, interconnection, net metering, or permitting standards), and links to supporting documentation.",,,,100.0,pending,,,
,05,AR,state,regulation,,,Interconnection Guidelines,,https://www.solarqcgroup.com/solar-incentives/AR/778/interconnection-guidelines,,"Jurisdiction-level solar policy or regulatory requirement in Arkansas, categorized as Interconnection. Summarizes applicability, key requirements (for example, interconnection, net metering, or permitting standards), and links to supporting documentation.",,,,,expired,,,
,05,AR,state,regulation,,,Net Metering,,https://www.apscservices.info/,,"Jurisdiction-level solar policy or regulatory requirement in Arkansas, categorized as Net Metering. Summarizes applicability, key requirements (for example, interconnection, net metering, or permitting standards), and links to supporting documentation.",,,,,error,,,
,06,CA,state,incentive,,,Partial Sales and Use Tax Exemption for Agricultural Solar Power Facilities,,https://rebates.energy/tax-incentives/ca/ca257f-partial-sales-and-use-tax-exemption-for-agricultural-solar-power-facilities/,,"Program-level record for a solar incentive available in California, categorized as Sales Tax Incentive. Typically includes the program name, administrator, eligibility rules, incentive structure or value, application steps, and deadlines.",,,,,error,,,
,06,CA,state,incentive,,,Renewable Market Adjusting Tariff (ReMAT),,https://www.cpuc.ca.gov/industries-and-topics/electrical-energy/electric-power-procurement/rps/rps-procurement-programs/renewable-market-adjusting-tariff,,"Program-level record for a solar incentive available in California, categorized as Feed-in Tariff. Typically includes the program name, administrator, eligibility rules, incentive structure or value, application steps, and deadlines.",,,,,pending,,,
,06,CA,state,incentive,,,Marin Clean Energy - Feed-In Tariff Plus,,https://www.mcecleanenergy.org/feed-in-tariff/,,"Program-level record for a solar incentive available in California, categorized as Feed-in Tariff. Typically includes the program name, administrator, eligibility rules, incentive structure or value, application steps, and deadlines.",,,,0.0,pending,,,
,06,CA,state,incentive,,,Sales and Use Tax Exemption for Electric Power Generation and Storage Equipment,,https://programs.dsireusa.org/system/program/CA,,"Program-level record for a solar incentive available in California, categorized as Sales Tax Incentive. Typically includes the program name, administrator, eligibility rules, incentive structure or value, application steps, and deadlines.",,,,,active,,,
,06,CA,state,incentive,,,Energy Efficiency Financing for Public Sector Projects,,https://www.energy.ca.gov/programs-and-topics/programs/energy-conservation-assistance-act-ecaa-program,,"Program-level record for a solar incentive available in California, categorized as Loan Program. Typically includes the program name, administrator, eligibility rules, incentive structure or value, application steps, and deadlines.",,,,,error,,,
,06,CA,state,incentive,,,Burbank Water & Power - Green Building Incentive Program,,https://programs.dsireusa.org/system/program/CA,,"Program-level record for a solar incentive available in California, categorized as Green Building Incentive. Typically includes the program name, administrator, eligibility rules, incentive structure or value, application steps, and deadlines.",,,,,active,,,
,06,CA,state,incentive,,,City of San Diego - Sustainable Building Expedited Permit Program,,https://www.sandiego.gov/development-services/sustainability/expedited-program,,"Program-level record for a solar incentive available in California, categorized as Green Building Incentive. Typically includes the program name, administrator, eligibility rules, incentive structure or value, application steps, and deadlines.",,,,,error,,,
,06,CA,state,incentive,,,Self-Generation Incentive Program,,https://www.cpuc.ca.gov/sgip,,"Program-level record for a solar incentive available in California, categorized as Rebate Program. Typically includes the program name, administrator, eligibility rules, incentive structure or value, application steps, and deadlines.",,,,280.0,active,,,
,06,CA,state,incentive,,,Property Tax Exclusion for Solar Energy Systems and Solar Plus Storage System,,https://www.boe.ca.gov/proptaxes/active-solar-energy-system.htm,,"Program-level record for a solar incentive available in California, categorized as Property Tax Incentive. Typically includes the program name, administrator, eligibility rules, incentive structure or value, application steps, and deadlines.",,,,,error,,,
,06,CA,state,incentive,,,Sales and Use Tax Exclusion for Advanced Transportation and Alternative Energy Manufacturing Program,,https://www.treasurer.ca.gov/caeatfa/ste/index.asp,,"Program-level record for a solar incentive available in California, categorized as Industry Recruitment/Support. Typically includes the program name, administrator, eligibility rules, incentive structure or value, application steps, and deadlines.",,,,,active,,,
,06,CA,state,incentive,,,Local Option - Municipal Energy Districts,,https://programs.dsireusa.org/system/program/CA,,"Program-level record for a solar incentive available in California, categorized as PACE Financing. Typically includes the program name, administrator, eligibility rules, incentive structure or value, application steps, and deadlines.",,,,,active,,,
,06,CA,state,incentive,,,Western Riverside Council of Governments - Home Energy Renovation Opportunity (HERO) Financing Program,,https://www.heroprogram.com/,,"Program-level record for a solar incentive available in California, categorized as PACE Financing. Typically includes the program name, administrator, eligibility rules, incentive structure or value, application steps, and deadlines.",,,,,error,,,
,06,CA,federal,incentive,,,CaliforniaFIRST,,https://www.californiafirst.org/,,"Program-level record for a solar incentive available in California, categorized as PACE Financing. Typically includes the program name, administrator, eligibility rules, incentive structure or value, application steps, and deadlines.",,,,245.0,expired,,,
,06,CA,state,incentive,,,LADWP - Non-Residential Energy Efficiency Incentive Program,,https://www.ladwp.com/commercial-services/programs-and-rebates/commercial-efficiency-solutions,,"Program-level record for a solar incentive available in California, categorized as Rebate Program. Typically includes the program name, administrator, eligibility rules, incentive structure or value, application steps, and deadlines.",,,,,error,,,
,06,CA,state,incentive,,,City of San Francisco - GreenFinanceSF,,https://sfenvironment.org/greenfinancesf,,"Program-level record for a solar incentive available in California, categorized as PACE Financing. Typically includes the program name, administrator, eligibility rules, incentive structure or value, application steps, and deadlines.",,,,,error,,,
,06,CA,state,incentive,,,State incentives overview - CA,,https://programs.dsireusa.org/system/program/CA,,"Program-level record for a solar incentive available in California. Typically includes the program name, administrator, eligibility rules, incentive structure or value, application steps, and deadlines.",,,,,active,,,
,06,CA,state,permit,,,401 Water Quality Certification (CA-SWRCB-401),,https://www.waterboards.ca.gov/water_issues/programs/cwa401/,,"California State and Regional Water Boards guidance for Clean Water Act Section 401 Water Quality Certification, including program purpose, responsible agencies, and general application guidance.",,,,,pending,"May 28, 2020",,30
,06,CA,state,permit,,,Construction General Permit (CA-SWRCB-CGP),,https://www.waterboards.ca.gov/water_issues/programs/stormwater/construction.html,,"California Construction Stormwater Program overview for the Construction General Permit (CGP), including coverage requirements, compliance expectations (SWPPP), risk levels, inspections, and reporting.",,,,,pending,,,
,06,CA,state,permit,,,Dam Alteration Permit (CA-DSOD-ALT),,https://water.ca.gov/Programs/All-Programs/Division-of-Safety-of-Dams,,California Department of Water Resources Division of Safety of Dams (DSOD) program information describing oversight of dams and reservoirs and DSOD’s role in reviewing alterations and safety-related compliance.,,,,,expired,,,
,06,CA,state,permit,,,Dam Alteration Permit (CA-DSOD-ALT),,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=WAT&sectionNum=6002.,,California Water Code statutory section providing legal definitions and authorities relevant to dam safety oversight and alteration related requirements.,,,,,expired,,,
